Date : 2023-11-23 14:39:13
Directory : c:\xampp\htdocs\farmaciaProFarma
Total : 775 files,  127110 codes, 45920 comments, 25077 blanks, all 198107 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        668 |     88,870 |     39,088 |     18,714 |    146,672 |
| JavaScript |         17 |     20,988 |      4,079 |      5,194 |     30,261 |
| CSS        |         15 |     13,233 |        177 |        910 |     14,320 |
| HTML       |         69 |      3,752 |         16 |        201 |      3,969 |
| JSON       |          3 |        150 |      2,560 |          1 |      2,711 |
| Markdown   |          2 |        116 |          0 |         57 |        173 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        775 |    127,110 |     45,920 |     25,077 |    198,107 |
| . (Files)                                                                                                                                |          3 |        117 |      2,560 |         23 |      2,700 |
| app                                                                                                                                      |        723 |     92,230 |     39,052 |     18,821 |    150,103 |
| app (Files)                                                                                                                              |          2 |         10 |         13 |          5 |         28 |
| app\Config                                                                                                                               |         38 |      1,298 |      2,024 |        327 |      3,649 |
| app\Config (Files)                                                                                                                       |         35 |      1,284 |      1,961 |        316 |      3,561 |
| app\Config\Boot                                                                                                                          |          3 |         14 |         63 |         11 |         88 |
| app\Controllers                                                                                                                          |         13 |      2,180 |         61 |        373 |      2,614 |
| app\Language                                                                                                                             |          1 |          2 |          1 |          2 |          5 |
| app\Language\en                                                                                                                          |          1 |          2 |          1 |          2 |          5 |
| app\Libraries                                                                                                                            |          1 |        111 |         14 |         18 |        143 |
| app\Models                                                                                                                               |         16 |        573 |          5 |        170 |        748 |
| app\ThirdParty                                                                                                                           |        595 |     84,062 |     36,890 |     17,460 |    138,412 |
| app\ThirdParty\PhpSpreadsheet                                                                                                            |        508 |     77,479 |     36,593 |     17,098 |    131,170 |
| app\ThirdParty\PhpSpreadsheet (Files)                                                                                                    |         13 |      2,698 |      1,326 |        596 |      4,620 |
| app\ThirdParty\PhpSpreadsheet\Calculation                                                                                                |        205 |     22,160 |     15,059 |      4,196 |     41,415 |
| app\ThirdParty\PhpSpreadsheet\Calculation (Files)                                                                                        |         19 |      7,317 |      7,632 |        958 |     15,907 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Database                                                                                       |         13 |        314 |        354 |         90 |        758 |
| app\ThirdParty\PhpSpreadsheet\Calculation\DateTimeExcel                                                                                  |         17 |      1,380 |        719 |        292 |      2,391 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Engine                                                                                         |          8 |        858 |        226 |        218 |      1,302 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Engine (Files)                                                                                 |          6 |        587 |        192 |        154 |        933 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Engine\Operands                                                                                |          2 |        271 |         34 |         64 |        369 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Engineering                                                                                    |         19 |      1,934 |      1,176 |        416 |      3,526 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial                                                                                      |         23 |      2,154 |        996 |        395 |      3,545 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial (Files)                                                                              |          9 |        833 |        437 |        176 |      1,446 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow                                                                             |          9 |        871 |        312 |        154 |      1,337 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow (Files)                                                                     |          2 |         90 |         39 |         24 |        153 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant                                                                    |          5 |        454 |        182 |         79 |        715 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant (Files)                                                            |          1 |        128 |         47 |         21 |        196 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Constant\Periodic                                                           |          4 |        326 |        135 |         58 |        519 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\CashFlow\Variable                                                                    |          2 |        327 |         91 |         51 |        469 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Financial\Securities                                                                           |          5 |        450 |        247 |         65 |        762 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Information                                                                                    |          3 |        271 |        224 |         71 |        566 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Internal                                                                                       |          2 |         41 |          2 |         10 |         53 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Logical                                                                                        |          3 |        159 |        215 |         42 |        416 |
| app\ThirdParty\PhpSpreadsheet\Calculation\LookupRef                                                                                      |         18 |      1,424 |        423 |        349 |      2,196 |
| app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig                                                                                       |         32 |      2,557 |      1,082 |        439 |      4,078 |
| app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig (Files)                                                                               |         26 |      2,245 |        838 |        350 |      3,433 |
| app\ThirdParty\PhpSpreadsheet\Calculation\MathTrig\Trig                                                                                  |          6 |        312 |        244 |         89 |        645 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Statistical                                                                                    |         36 |      2,774 |      1,545 |        679 |      4,998 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Statistical (Files)                                                                            |         18 |      1,312 |        732 |        321 |      2,365 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Statistical\Averages                                                                           |          1 |         69 |         46 |         18 |        133 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Statistical\Distributions                                                                      |         17 |      1,393 |        767 |        340 |      2,500 |
| app\ThirdParty\PhpSpreadsheet\Calculation\TextData                                                                                       |         10 |        863 |        416 |        204 |      1,483 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Token                                                                                          |          1 |         73 |         28 |         21 |        122 |
| app\ThirdParty\PhpSpreadsheet\Calculation\Web                                                                                            |          1 |         41 |         21 |         12 |         74 |
| app\ThirdParty\PhpSpreadsheet\Cell                                                                                                       |         17 |      2,001 |        899 |        535 |      3,435 |
| app\ThirdParty\PhpSpreadsheet\Chart                                                                                                      |         18 |      3,418 |      1,334 |        811 |      5,563 |
| app\ThirdParty\PhpSpreadsheet\Chart (Files)                                                                                              |         14 |      2,675 |      1,257 |        654 |      4,586 |
| app\ThirdParty\PhpSpreadsheet\Chart\Renderer                                                                                             |          4 |        743 |         77 |        157 |        977 |
| app\ThirdParty\PhpSpreadsheet\Collection                                                                                                 |          4 |        376 |        247 |        106 |        729 |
| app\ThirdParty\PhpSpreadsheet\Collection (Files)                                                                                         |          2 |        264 |        160 |         68 |        492 |
| app\ThirdParty\PhpSpreadsheet\Collection\Memory                                                                                          |          2 |        112 |         87 |         38 |        237 |
| app\ThirdParty\PhpSpreadsheet\Document                                                                                                   |          2 |        357 |        225 |        103 |        685 |
| app\ThirdParty\PhpSpreadsheet\Helper                                                                                                     |          7 |      1,276 |        141 |        177 |      1,594 |
| app\ThirdParty\PhpSpreadsheet\Reader                                                                                                     |         65 |     15,789 |      3,415 |      3,460 |     22,664 |
| app\ThirdParty\PhpSpreadsheet\Reader (Files)                                                                                             |         13 |      9,886 |      2,710 |      2,310 |     14,906 |
| app\ThirdParty\PhpSpreadsheet\Reader\Csv                                                                                                 |          1 |         93 |         23 |         32 |        148 |
| app\ThirdParty\PhpSpreadsheet\Reader\Gnumeric                                                                                            |          3 |        478 |         15 |         92 |        585 |
| app\ThirdParty\PhpSpreadsheet\Reader\Ods                                                                                                 |          6 |        422 |         47 |         90 |        559 |
| app\ThirdParty\PhpSpreadsheet\Reader\Security                                                                                            |          1 |         61 |         15 |         22 |         98 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xls                                                                                                 |         14 |        866 |        333 |        240 |      1,439 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xls (Files)                                                                                         |          7 |        582 |        295 |        200 |      1,077 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xls\Color                                                                                           |          3 |        155 |         15 |         12 |        182 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xls\Style                                                                                           |          4 |        129 |         23 |         28 |        180 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xlsx                                                                                                |         17 |      3,236 |        254 |        499 |      3,989 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xml                                                                                                 |         10 |        747 |         18 |        175 |        940 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xml (Files)                                                                                         |          4 |        459 |         12 |        102 |        573 |
| app\ThirdParty\PhpSpreadsheet\Reader\Xml\Style                                                                                           |          6 |        288 |          6 |         73 |        367 |
| app\ThirdParty\PhpSpreadsheet\RichText                                                                                                   |          4 |        155 |        140 |         49 |        344 |
| app\ThirdParty\PhpSpreadsheet\Shared                                                                                                     |         32 |      3,589 |      2,513 |        852 |      6,954 |
| app\ThirdParty\PhpSpreadsheet\Shared (Files)                                                                                             |         14 |      2,192 |      1,299 |        493 |      3,984 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher                                                                                              |          7 |        349 |        392 |        116 |        857 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher (Files)                                                                                      |          2 |        103 |         99 |         35 |        237 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DgContainer                                                                                  |          2 |        167 |        219 |         55 |        441 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DgContainer (Files)                                                                          |          1 |         36 |         25 |         11 |         72 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DgContainer\SpgrContainer                                                                    |          1 |        131 |        194 |         44 |        369 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer                                                                                 |          3 |         79 |         74 |         26 |        179 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer (Files)                                                                         |          1 |         15 |         13 |          5 |         33 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer                                                                 |          2 |         64 |         61 |         21 |        146 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer (Files)                                                         |          1 |         40 |         37 |         12 |         89 |
| app\ThirdParty\PhpSpreadsheet\Shared\Escher\DggContainer\BstoreContainer\BSE                                                             |          1 |         24 |         24 |          9 |         57 |
| app\ThirdParty\PhpSpreadsheet\Shared\OLE                                                                                                 |          4 |        458 |        358 |         89 |        905 |
| app\ThirdParty\PhpSpreadsheet\Shared\OLE (Files)                                                                                         |          2 |        176 |        205 |         48 |        429 |
| app\ThirdParty\PhpSpreadsheet\Shared\OLE\PPS                                                                                             |          2 |        282 |        153 |         41 |        476 |
| app\ThirdParty\PhpSpreadsheet\Shared\Trend                                                                                               |          7 |        590 |        464 |        154 |      1,208 |
| app\ThirdParty\PhpSpreadsheet\Style                                                                                                      |         49 |      5,435 |      2,253 |      1,311 |      8,999 |
| app\ThirdParty\PhpSpreadsheet\Style (Files)                                                                                              |         12 |      2,667 |      1,651 |        574 |      4,892 |
| app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting                                                                                |         18 |      1,605 |        237 |        440 |      2,282 |
| app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting (Files)                                                                        |          9 |        887 |        118 |        249 |      1,254 |
| app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard                                                                         |          9 |        718 |        119 |        191 |      1,028 |
| app\ThirdParty\PhpSpreadsheet\Style\NumberFormat                                                                                         |         19 |      1,163 |        365 |        297 |      1,825 |
| app\ThirdParty\PhpSpreadsheet\Style\NumberFormat (Files)                                                                                 |          6 |        590 |        139 |        119 |        848 |
| app\ThirdParty\PhpSpreadsheet\Style\NumberFormat\Wizard                                                                                  |         13 |        573 |        226 |        178 |        977 |
| app\ThirdParty\PhpSpreadsheet\Worksheet                                                                                                  |         32 |      6,319 |      4,369 |      1,624 |     12,312 |
| app\ThirdParty\PhpSpreadsheet\Worksheet (Files)                                                                                          |         27 |      5,495 |      3,818 |      1,430 |     10,743 |
| app\ThirdParty\PhpSpreadsheet\Worksheet\AutoFilter                                                                                       |          2 |        447 |        287 |         91 |        825 |
| app\ThirdParty\PhpSpreadsheet\Worksheet\AutoFilter (Files)                                                                               |          1 |        184 |        167 |         50 |        401 |
| app\ThirdParty\PhpSpreadsheet\Worksheet\AutoFilter\Column                                                                                |          1 |        263 |        120 |         41 |        424 |
| app\ThirdParty\PhpSpreadsheet\Worksheet\Drawing                                                                                          |          1 |        119 |        120 |         35 |        274 |
| app\ThirdParty\PhpSpreadsheet\Worksheet\Table                                                                                            |          2 |        258 |        144 |         68 |        470 |
| app\ThirdParty\PhpSpreadsheet\Writer                                                                                                     |         60 |     13,906 |      4,672 |      3,278 |     21,856 |
| app\ThirdParty\PhpSpreadsheet\Writer (Files)                                                                                             |         12 |      2,627 |      1,231 |        675 |      4,533 |
| app\ThirdParty\PhpSpreadsheet\Writer\Ods                                                                                                 |         13 |      1,148 |        119 |        230 |      1,497 |
| app\ThirdParty\PhpSpreadsheet\Writer\Ods (Files)                                                                                         |         11 |        871 |        104 |        170 |      1,145 |
| app\ThirdParty\PhpSpreadsheet\Writer\Ods\Cell                                                                                            |          2 |        277 |         15 |         60 |        352 |
| app\ThirdParty\PhpSpreadsheet\Writer\Pdf                                                                                                 |          3 |        136 |         69 |         41 |        246 |
| app\ThirdParty\PhpSpreadsheet\Writer\Xls                                                                                                 |         14 |      4,409 |      2,058 |      1,065 |      7,532 |
| app\ThirdParty\PhpSpreadsheet\Writer\Xls (Files)                                                                                         |         10 |      4,238 |      2,025 |      1,030 |      7,293 |
| app\ThirdParty\PhpSpreadsheet\Writer\Xls\Style                                                                                           |          4 |        171 |         33 |         35 |        239 |
| app\ThirdParty\PhpSpreadsheet\Writer\Xlsx                                                                                                |         18 |      5,586 |      1,195 |      1,267 |      8,048 |
| app\ThirdParty\fpdf                                                                                                                      |         87 |      6,583 |        297 |        362 |      7,242 |
| app\ThirdParty\fpdf (Files)                                                                                                              |          4 |      2,061 |        167 |        128 |      2,356 |
| app\ThirdParty\fpdf\doc                                                                                                                  |         49 |      1,934 |          0 |         55 |      1,989 |
| app\ThirdParty\fpdf\font                                                                                                                 |         14 |        248 |          0 |         14 |        262 |
| app\ThirdParty\fpdf\makefont                                                                                                             |          2 |      1,048 |         53 |         71 |      1,172 |
| app\ThirdParty\fpdf\tutorial                                                                                                             |         18 |      1,292 |         77 |         94 |      1,463 |
| app\Views                                                                                                                                |         57 |      3,994 |         44 |        466 |      4,504 |
| app\Views (Files)                                                                                                                        |          6 |        679 |          0 |         88 |        767 |
| app\Views\cajas                                                                                                                          |          8 |        426 |          0 |         44 |        470 |
| app\Views\categorias                                                                                                                     |          4 |        178 |          0 |         22 |        200 |
| app\Views\compras                                                                                                                        |          3 |        227 |          1 |         32 |        260 |
| app\Views\configuracion                                                                                                                  |          2 |        115 |          0 |         12 |        127 |
| app\Views\errors                                                                                                                         |          8 |        773 |         17 |        116 |        906 |
| app\Views\errors\cli                                                                                                                     |          3 |         55 |          4 |         21 |         80 |
| app\Views\errors\html                                                                                                                    |          5 |        718 |         13 |         95 |        826 |
| app\Views\logs                                                                                                                           |          1 |         55 |          0 |          3 |         58 |
| app\Views\productos                                                                                                                      |          7 |        412 |         25 |         26 |        463 |
| app\Views\proveedores                                                                                                                    |          4 |        262 |          0 |         30 |        292 |
| app\Views\roles                                                                                                                          |          5 |        230 |          0 |         22 |        252 |
| app\Views\usuarios                                                                                                                       |          5 |        341 |          0 |         41 |        382 |
| app\Views\ventas                                                                                                                         |          4 |        296 |          1 |         30 |        327 |
| public                                                                                                                                   |         33 |     34,450 |      4,281 |      6,129 |     44,860 |
| public (Files)                                                                                                                           |          1 |          9 |         21 |          8 |         38 |
| public\assets                                                                                                                            |          5 |        116 |          7 |          7 |        130 |
| public\assets\demo                                                                                                                       |          4 |        115 |          7 |          7 |        129 |
| public\assets\img                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| public\css                                                                                                                               |          7 |     10,571 |         51 |        811 |     11,433 |
| public\css (Files)                                                                                                                       |          4 |     10,426 |         45 |        782 |     11,253 |
| public\css\Nueva carpeta                                                                                                                 |          3 |        145 |          6 |         29 |        180 |
| public\js                                                                                                                                |         20 |     23,754 |      4,202 |      5,303 |     33,259 |
| public\js (Files)                                                                                                                        |          9 |         18 |         38 |          7 |         63 |
| public\js\jquery-ui                                                                                                                      |         11 |     23,736 |      4,164 |      5,296 |     33,196 |
| public\js\jquery-ui (Files)                                                                                                              |         10 |     16,841 |      2,253 |      3,220 |     22,314 |
| public\js\jquery-ui\external                                                                                                             |          1 |      6,895 |      1,911 |      2,076 |     10,882 |
| public\js\jquery-ui\external\jquery                                                                                                      |          1 |      6,895 |      1,911 |      2,076 |     10,882 |
| tests                                                                                                                                    |          8 |        241 |         27 |         80 |        348 |
| tests (Files)                                                                                                                            |          1 |         75 |          0 |         34 |        109 |
| tests\_support                                                                                                                           |          4 |         95 |          7 |         21 |        123 |
| tests\_support\Database                                                                                                                  |          2 |         66 |          0 |         14 |         80 |
| tests\_support\Database\Migrations                                                                                                       |          1 |         30 |          0 |          8 |         38 |
| tests\_support\Database\Seeds                                                                                                            |          1 |         36 |          0 |          6 |         42 |
| tests\_support\Libraries                                                                                                                 |          1 |          8 |          7 |          3 |         18 |
| tests\_support\Models                                                                                                                    |          1 |         21 |          0 |          4 |         25 |
| tests\database                                                                                                                           |          1 |         27 |          7 |         12 |         46 |
| tests\session                                                                                                                            |          1 |         12 |          3 |          4 |         19 |
| tests\unit                                                                                                                               |          1 |         32 |         10 |          9 |         51 |
| vendor                                                                                                                                   |          4 |         36 |          0 |         12 |         48 |
| vendor\codeigniter4                                                                                                                      |          4 |         36 |          0 |         12 |         48 |
| vendor\codeigniter4\framework                                                                                                            |          4 |         36 |          0 |         12 |         48 |
| vendor\codeigniter4\framework\writable                                                                                                   |          4 |         36 |          0 |         12 |         48 |
| vendor\codeigniter4\framework\writable\cache                                                                                             |          1 |          9 |          0 |          3 |         12 |
| vendor\codeigniter4\framework\writable\logs                                                                                              |          1 |          9 |          0 |          3 |         12 |
| vendor\codeigniter4\framework\writable\session                                                                                           |          1 |          9 |          0 |          3 |         12 |
| vendor\codeigniter4\framework\writable\uploads                                                                                           |          1 |          9 |          0 |          3 |         12 |
| writable                                                                                                                                 |          4 |         36 |          0 |         12 |         48 |
| writable\cache                                                                                                                           |          1 |          9 |          0 |          3 |         12 |
| writable\logs                                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| writable\session                                                                                                                         |          1 |          9 |          0 |          3 |         12 |
| writable\uploads                                                                                                                         |          1 |          9 |          0 |          3 |         12 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\farmaciaProFarma\README.md                                                                                               | Markdown   |         41 |          0 |         23 |         64 |
| c:\xampp\htdocs\farmaciaProFarma\app\Common.php                                                                                          | PHP        |          1 |         13 |          2 |         16 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\App.php                                                                                      | PHP        |         37 |        394 |         34 |        465 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Autoload.php                                                                                 | PHP        |         16 |         70 |          6 |         92 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Boot\development.php                                                                         | PHP        |          5 |         24 |          4 |         33 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Boot\production.php                                                                          | PHP        |          4 |         15 |          3 |         22 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Boot\testing.php                                                                             | PHP        |          5 |         24 |          4 |         33 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\CURLRequest.php                                                                              | PHP        |          7 |         12 |          4 |         23 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Cache.php                                                                                    | PHP        |         44 |        124 |         14 |        182 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Constants.php                                                                                | PHP        |         21 |         54 |          5 |         80 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\ContentSecurityPolicy.php                                                                    | PHP        |         25 |        119 |         24 |        168 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Cookie.php                                                                                   | PHP        |         15 |         94 |         11 |        120 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Database.php                                                                                 | PHP        |         53 |         29 |          9 |         91 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\DocTypes.php                                                                                 | PHP        |         26 |          5 |          3 |         34 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Email.php                                                                                    | PHP        |         30 |        114 |         27 |        171 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Encryption.php                                                                               | PHP        |         10 |         51 |          7 |         68 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Events.php                                                                                   | PHP        |         21 |         22 |          8 |         51 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Exceptions.php                                                                               | PHP        |         10 |         44 |          7 |         61 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Feature.php                                                                                  | PHP        |          7 |         17 |          4 |         28 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Filters.php                                                                                  | PHP        |         27 |         35 |          7 |         69 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\ForeignCharacters.php                                                                        | PHP        |          6 |          0 |          4 |         10 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Format.php                                                                                   | PHP        |         26 |         43 |          7 |         76 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Generators.php                                                                               | PHP        |         18 |         19 |          4 |         41 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Honeypot.php                                                                                 | PHP        |         11 |         25 |          8 |         44 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Images.php                                                                                   | PHP        |         14 |         16 |          6 |         36 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Kint.php                                                                                     | PHP        |         20 |         25 |          7 |         52 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Logger.php                                                                                   | PHP        |         25 |        116 |         13 |        154 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Migrations.php                                                                               | PHP        |          9 |         41 |          6 |         56 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Mimes.php                                                                                    | PHP        |        488 |         35 |         12 |        535 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Modules.php                                                                                  | PHP        |         15 |         33 |          6 |         54 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Pager.php                                                                                    | PHP        |         12 |         23 |          5 |         40 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Paths.php                                                                                    | PHP        |         10 |         69 |          7 |         86 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Publisher.php                                                                                | PHP        |         10 |         15 |          4 |         29 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Routes.php                                                                                   | PHP        |         16 |         28 |          8 |         52 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Security.php                                                                                 | PHP        |         15 |         91 |         12 |        118 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Services.php                                                                                 | PHP        |          6 |         23 |          4 |         33 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\Toolbar.php                                                                                  | PHP        |         26 |         66 |          8 |        100 |
| c:\xampp\htdocs\farmaciaProFarma\app\Config\UserAgents.php                                                                               | PHP        |        180 |         61 |         12 |        253 |
